Votes, Title, Cover_Image
44384,Heartstopper by Alice Oseman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587842273l/44779280._SY475_.jpg
22329,Fangs by Sarah Andersen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585286731l/50898148._SX318_.jpg
22247,I Will Judge You by Your Bookshelf by Grant Snider,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564836659l/50159129._SX318_SY475_.jpg
18629,Sapiens by David Vandermeulen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594616346l/54110137.jpg
