Votes
91889
$12.82M
478793
$144.84M
51218
$26.33M
258737
$38.41M
20704
92833
$9.25M
7801
$24.10M
658
66544
$8.40M
293716
1581
3530
$1.94M
805
16996
$10.40M
1660702
$315.54M
366620
$291.71M
657795
$317.58M
128983
$54.23M
2248
786
21933
$24.91M
2202
2510
32857
3565
$3.26M
2103
85545
$0.06M
40493
$5.10M
27832
$13.99M
